interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,NY,NY11,28,Agree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,West,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,AZ,AZ02,86,Agree,Disagree,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Self-employed,The United States,Male,South,Not Hispanic,"Black, or African American","$55,000 to $74,999",Some college or associate degree,FL,FL04,49,Agree,Not Asked,45-64 year olds,0,1,Black
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Didn't graduate from high school,TX,,56,Agree,Not Asked,45-64 year olds,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Full-time employed,The United States,Female,South,Mexican,Some other race,"$25,000 to $34,999",Some college or associate degree,TX,TX32,53,Agree,Agree,45-64 year olds,0,0,Other
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,Female,South,Not Hispanic,Some other race,"Less than $14,999",High school graduate,KY,KY01,22,Disagree,Disagree,18-29 year olds,0,1,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Didn't graduate from high school,MO,MO05,49,Agree,Agree,45-64 year olds,1,0,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Moderate,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,IL,IL06,20,Not sure,Not Asked,18-29 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",Some college or associate degree,MO,MO08,43,Disagree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Very Liberal,Student,The United States,Male,South,Not Hispanic,Some other race,"Less than $14,999",Some college or associate degree,NC,NC08,34,Agree,Agree,30-44 year olds,0,1,Other
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Female,Midwest,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,MO,MO08,46,Agree,Agree,45-64 year olds,1,0,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,West,Spanish,White,"$45,000 to $54,999",Some college or associate degree,AZ,AZ04,62,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,Another country,Male,West,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,CA,CA26,67,Agree,Agree,65 years and older,0,1,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Female,South,Mexican,Pacific Islander (Other),"Less than $14,999",Didn't graduate from high school,FL,FL24,36,NA,Not Asked,30-44 year olds,0,1,Other
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,West,Not Hispanic,Some other race,"$55,000 to $74,999",Some college or associate degree,OR,OR03,51,Agree,Agree,45-64 year olds,0,1,Other
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Homemaker,Another country,Female,South,Not Hispanic,Asian (Other),"$100,000 to $149,999",Bachelor's degree or higher,MD,MD02,55,Agree,Not Asked,45-64 year olds,1,0,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,South,Not Hispanic,"Black, or African American","$45,000 to $54,999",Some college or associate degree,TX,TX05,57,Agree,Not Asked,45-64 year olds,1,0,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,NA,Bachelor's degree or higher,IL,IL09,57,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Moderate,Homemaker,Another country,Female,Midwest,Not Hispanic,Asian (Other),NA,Bachelor's degree or higher,MI,MI14,27,Not sure,Not Asked,18-29 year olds,0,0,Asian
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,Some other race,"$55,000 to $74,999",Bachelor's degree or higher,TX,TX09,47,Agree,Agree,45-64 year olds,0,1,Other
Some of the time,Registered,Hillary Clinton,Not sure,Someone else,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",High school graduate,NY,NY09,71,Agree,Not Asked,65 years and older,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NY,NY12,37,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,Student,Another country,Female,South,Venezuelan,White,"$15,000 to $24,999",High school graduate,FL,FL09,18,Agree,Agree,18-29 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NY,NY09,41,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Student,The United States,Female,Northeast,Not Hispanic,"Black, or African American","$25,000 to $34,999",Some college or associate degree,NY,NY18,27,Disagree,Not Asked,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,VA,VA09,36,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Female,West,Not Hispanic,White,"$100,000 to $149,999",High school graduate,AZ,AZ04,55,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Self-employed,The United States,Male,South,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,TX,TX24,57,Not sure,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Very Liberal,Unemployed or temporarily on layoff,The United States,Female,South,Mexican,White,"$25,000 to $34,999",Some college or associate degree,MS,MS04,22,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,IL,IL10,40,Disagree,Not Asked,30-44 year olds,1,0,White
Some of the time,Not registered,Donald Trump,Not sure,Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,NA,Didn't graduate from high school,TX,TX05,26,Agree,Agree,18-29 year olds,1,0,White
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,LA,LA04,22,Not sure,Not Asked,18-29 year olds,0,0,White
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,KY,KY05,28,Agree,Not Asked,18-29 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,Female,West,Mexican,Some other race,"$15,000 to $24,999",Bachelor's degree or higher,WA,WA04,21,Not sure,Not Asked,18-29 year olds,1,0,Other
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,OH,OH01,33,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Don't recall,"Yes, I will vote",I am not sure/don't know,Very Conservative,Self-employed,The United States,Female,West,Mexican,White,"$25,000 to $34,999",Bachelor's degree or higher,CA,CA05,66,Not sure,Disagree,65 years and older,0,0,White
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,Self-employed,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,TN,TN01,30,Agree,Agree,30-44 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",High school graduate,WI,WI07,49,Agree,Not Asked,45-64 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,"Black, or African American","$35,000 to $44,999",Some college or associate degree,FL,FL06,29,Agree,Not Asked,18-29 year olds,1,0,Black
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,Other:,The United States,Female,Midwest,Not Hispanic,Some other race,"$45,000 to $54,999",Bachelor's degree or higher,OH,OH09,64,Not sure,Agree,45-64 year olds,0,1,Other
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Homemaker,The United States,Female,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,FL,FL02,27,Agree,Agree,18-29 year olds,0,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Full-time employed,The United States,Male,West,Not Hispanic,White,"Less than $14,999",High school graduate,CA,CA02,57,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Male,West,Not Hispanic,White,NA,Some college or associate degree,NM,NM02,48,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,PA,PA01,34,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,Female,West,Mexican,Some other race,"$45,000 to $54,999",Some college or associate degree,CA,CA23,29,Not sure,Not Asked,18-29 year olds,1,0,Other
Only now and then,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,Full-time employed,The United States,Female,West,Not Hispanic,Asian (Asian Indian),"$25,000 to $34,999",Didn't graduate from high school,HI,HI01,22,Agree,Not Asked,18-29 year olds,0,0,Asian
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",NA,TX,TX30,39,Not sure,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,West,Not Hispanic,White,"Less than $14,999",Bachelor's degree or higher,WA,WA05,32,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Other:,The United States,Male,Northeast,Not Hispanic,White,"Less than $14,999",Some college or associate degree,NY,NY26,48,Agree,Disagree,45-64 year olds,0,1,White
Most of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Conservative,Full-time employed,The United States,Female,West,Not Hispanic,White,NA,Bachelor's degree or higher,WA,WA06,24,Disagree,Disagree,18-29 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,DC,DC00,40,Agree,Disagree,30-44 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Joe Biden,Liberal,Part-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,FL,FL27,25,Not sure,Not Sure,18-29 year olds,0,1,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,PA,PA16,53,Agree,Not Asked,45-64 year olds,1,0,White
Only now and then,Registered,Was not eligible to vote,"No, I will not vote but I am eligible",Donald Trump,Moderate,Unemployed or temporarily on layoff,The United States,Female,West,Spanish,White,"$15,000 to $24,999",High school graduate,WA,WA02,20,Agree,Not Asked,18-29 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,Female,West,Not Hispanic,Some other race,NA,Bachelor's degree or higher,CA,CA33,30,Agree,Not Sure,30-44 year olds,0,1,Other
Hardly at all,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Very Conservative,Homemaker,The United States,Female,West,Not Hispanic,White,"Less than $14,999",High school graduate,CA,CA35,35,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Student,The United States,Female,West,Not Hispanic,"Black, or African American","$100,000 to $149,999",NA,CA,CA37,39,Agree,Not Asked,30-44 year olds,0,1,Black
